book_id	author	type	role
967174805	Carl R. Sam, Jean Stoick		
967697603	Mercedes Lee		
1552047210	James Herriot		
1557044287	Ridley Scott		
1565922840	Randal Schwartz, Tom Christiansen, Larry Wall		
1565926099	David Blank-Edelman		
1565926269	Steven Roman		
1565927699	Rasmus Lerdorf		
1566912296	Rick Steves		
1573225312	Chang-Rae Lee		
1576572862	Nancy Parent		
1576573842	Nancy Parent		
1581950098	Kurt Johnson, Steven L. Coates		
1584500492	DeLoura, Mark		
1586480103	Andy Rooney, Tom Brokaw		
1861003730	Chris Lea, Wankyu Choi, Allan Kent, Ganesh Prasad, Chris Ullman		
1864364432	John Ashton		
1878529234	Craig Clunas		
1884133258	Jamsa Klander		
1902618351	Mei Lim (Illustrator)		
1930110006	David Cross		
014051452X	Richard Cook		
020163371X	Scott Meyers		
020165783X	Martin Fowler, Kendall Scott 		
034538475X	Anne Rice		
037541164X	Gurcharan Das		
038071115X	Tracy Kidder		
039914563X	Tom Clancy		
042510107X	Tom Clancy 		
062593460X	Janet Podleski, Greta Podleski, Ted Martin		
067100767X	V. C. Andrews 		
067944551X	Geoffrey C. Ward		
067976674X	Alice Munro		
076454621X	Kelly L. Murdock		
083512035x	Liu Zongen		
093570261x	Roger L. Dekock		
962593460X	Ryuichi Yoshii		
195148665	Andy Clark		
199291144	Richard Dawkins		
192860925	Richard Dawkins		
